City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Constitucion,CL,-35.3333,-72.4167,60.82,73,0,13.2,clear sky,2021-04-11 22:48:07
60,Ancud,CL,-41.8697,-73.8203,60.01,78,93,15.99,overcast clouds,2021-04-11 22:52:05
61,Mackay,AU,-21.15,149.2,75.99,56,3,12.66,clear sky,2021-04-11 22:52:06
62,Novoagansk,RU,61.9449,76.6625,36.61,98,100,11.1,overcast clouds,2021-04-11 22:52:06
63,Lakatoro,VU,-16.0999,167.4164,82.36,70,94,3.33,overcast clouds,2021-04-11 22:52:07
64,Manoel Urbano,BR,-8.8389,-69.2597,74.64,91,100,0.16,overcast clouds,2021-04-11 22:52:07
65,Zaragoza,ES,41.6561,-0.8773,48.99,76,0,20.71,clear sky,2021-04-11 22:51:22
66,Qaanaaq,GL,77.484,-69.3632,23.05,94,100,9.69,snow,2021-04-11 22:52:07
67,Narsaq,GL,60.9167,-46.05,48.2,29,0,13.8,clear sky,2021-04-11 22:52:08
68,East London,ZA,-33.0153,27.9116,71.13,82,100,1.95,overcast clouds,2021-04-11 22:52:08
69,Pacific Grove,US,36.6177,-121.9166,59.0,63,90,10.36,overcast clouds,2021-04-11 22:51:21
70,Ribeira Grande,PT,38.5167,-28.7,62.6,86,82,13.44,broken clouds,2021-04-11 22:50:53
71,Jaipur,IN,26.9167,75.8167,73.4,35,0,2.3,haze,2021-04-11 22:47:17
72,Ishigaki,JP,24.3448,124.1572,73.4,83,20,10.36,few clouds,2021-04-11 22:48:07
73,Ponta Do Sol,PT,32.6667,-17.1,63.0,81,100,1.01,overcast clouds,2021-04-11 22:52:09
74,Porterville,US,36.0652,-119.0168,78.8,29,1,4.61,clear sky,2021-04-11 22:52:10
75,Hermanus,ZA,-34.4187,19.2345,64.99,82,100,5.99,overcast clouds,2021-04-11 22:52:10
76,Otane,NZ,-39.8833,176.6333,69.01,83,95,1.99,overcast clouds,2021-04-11 22:50:07
77,Bethel,US,41.3712,-73.414,53.01,93,100,3.0,overcast clouds,2021-04-11 22:48:42
78,Emerald,AU,-23.5333,148.1667,64.4,32,0,23.02,clear sky,2021-04-11 22:52:11
79,Tshikapa,CD,-6.4167,20.8,70.03,98,100,2.21,light rain,2021-04-11 22:52:11
80,Itaqui,BR,-29.1253,-56.5531,66.42,65,94,14.14,overcast clouds,2021-04-11 22:50:11
81,Malakal,SS,9.5334,31.6605,92.66,13,88,3.67,overcast clouds,2021-04-11 22:52:12
82,Pevek,RU,69.7008,170.3133,-13.32,98,100,5.19,overcast clouds,2021-04-11 22:52:12
83,Turukhansk,RU,65.8167,87.9833,21.69,79,100,12.93,overcast clouds,2021-04-11 22:52:12
84,Songjianghe,CN,42.1859,127.479,50.11,51,100,6.33,overcast clouds,2021-04-11 22:52:13
85,Hilo,US,19.7297,-155.09,80.6,44,1,11.5,clear sky,2021-04-11 22:51:31
86,Pokrovskoye,RU,47.4157,38.8971,46.99,93,100,1.99,overcast clouds,2021-04-11 22:52:13
87,Georgetown,MY,5.4112,100.3354,80.6,94,40,2.3,scattered clouds,2021-04-11 22:52:04
88,Tamandare,BR,-8.7597,-35.1047,77.63,87,100,8.16,moderate rain,2021-04-11 22:52:13
89,Youghal,IE,51.95,-7.8506,43.0,70,40,9.22,scattered clouds,2021-04-11 22:52:14
90,Lorengau,PG,-2.0226,147.2712,77.4,89,100,18.57,moderate rain,2021-04-11 22:51:44
91,Severo-Kurilsk,RU,50.6789,156.125,36.28,80,67,6.08,broken clouds,2021-04-11 22:50:41
92,Mahebourg,MU,-20.4081,57.7,77.0,94,75,6.91,broken clouds,2021-04-11 22:52:15
93,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,100,1.14,overcast clouds,2021-04-11 22:50:46
94,Naze,JP,28.3667,129.4833,69.8,73,20,17.27,few clouds,2021-04-11 22:52:15
95,Ndende,GA,-2.4008,11.3581,72.39,95,93,1.03,overcast clouds,2021-04-11 22:52:15
96,Atuona,PF,-9.8,-139.0333,80.6,77,18,17.02,few clouds,2021-04-11 22:52:16
97,Mahon,ES,39.8885,4.2658,57.2,100,75,2.3,broken clouds,2021-04-11 22:52:16
98,Port Stanley,FK,-51.7,-57.85,44.6,81,20,4.61,few clouds,2021-04-11 22:49:03
99,Sao Raimundo Nonato,BR,-9.0153,-42.6994,79.2,43,96,2.44,overcast clouds,2021-04-11 22:52:13
100,Cherskiy,RU,68.75,161.3,-11.74,92,92,4.27,overcast clouds,2021-04-11 22:52:17
101,Ahipara,NZ,-35.1667,173.1667,71.06,76,47,3.96,scattered clouds,2021-04-11 22:52:17
102,Luderitz,NA,-26.6481,15.1594,73.0,48,0,6.13,clear sky,2021-04-11 22:52:18
103,Butaritari,KI,3.0707,172.7902,81.28,76,32,9.37,scattered clouds,2021-04-11 22:52:18
104,Dukat,RU,62.55,155.55,-7.31,92,97,7.23,overcast clouds,2021-04-11 22:52:18
105,Alyangula,AU,-13.8483,136.4192,73.4,100,61,7.54,broken clouds,2021-04-11 22:52:19
106,Griffith,US,41.5284,-87.4237,52.0,76,90,5.75,overcast clouds,2021-04-11 22:52:19
107,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,8.05,broken clouds,2021-04-11 22:52:19
108,Port Shepstone,ZA,-30.7414,30.455,74.7,87,99,8.59,overcast clouds,2021-04-11 22:52:20
109,Bondoukou,CI,8.0333,-2.8,77.34,67,84,3.31,broken clouds,2021-04-11 22:52:20
110,Amazar,RU,53.858,120.875,17.42,56,84,4.76,broken clouds,2021-04-11 22:52:20
111,Yaan,NG,7.3833,8.5667,79.39,64,100,6.78,overcast clouds,2021-04-11 22:52:21
112,Coihaique,CL,-45.5752,-72.0662,60.8,55,75,12.66,light rain,2021-04-11 22:52:21
113,Balabac,PH,7.9868,117.0645,81.34,79,58,8.05,broken clouds,2021-04-11 22:52:21
114,Shingu,JP,33.7333,135.9833,59.72,62,100,9.93,overcast clouds,2021-04-11 22:52:22
115,Kavieng,PG,-2.5744,150.7967,78.57,83,100,1.97,light rain,2021-04-11 22:52:22
116,Sitka,US,57.0531,-135.33,39.2,75,90,3.44,light snow,2021-04-11 22:52:22
117,Ulaangom,MN,49.9811,92.0667,33.04,34,86,0.54,overcast clouds,2021-04-11 22:52:23
118,Dikson,RU,73.5069,80.5464,29.12,93,100,24.14,light snow,2021-04-11 22:52:23
119,Antofagasta,CL,-23.65,-70.4,62.6,77,40,14.97,scattered clouds,2021-04-11 22:47:44
120,Sioux Lookout,CA,50.1001,-91.917,37.4,93,90,9.22,mist,2021-04-11 22:52:24
121,Inuvik,CA,68.3499,-133.7218,10.4,34,11,5.75,few clouds,2021-04-11 22:52:24
